description,department,label
"A patient was admitted to the critical care unit with congestive heart failure and
 later has a new complaint of chest pain persisting over several hours. Tylenol is
 administered but does not decrease the patient¡¯s pain scale rating. The Resident
 orders a laboratory work-up. An EKG shows that the patient is experiencing an
 acute ST-elevation myocardial infarction. The attending cardiologist is called, but
 does not respond to multiple pages. The nurse does not escalate the patient¡¯s
 emergent condition to other physicians or the rapid response team. The patient
 continues to decompensate, codes and expires.",internal medicine,SSE
"A patient presented to the Emergency Department complaining of chest pain
 and is admitted to rule out myocardial infarction (MI). A CT scan is performed with
 an incidental finding of a ¡°questionable atrial thrombus¡±. The ED physician and
 admitting intern are notified. The ED physician includes this information in his
 dictated report, but the intern does not include this information in the H&P. The
 attending cardiologist misses this information. The patient is discharged after
 an acute MI is ruled out. No assessment of the atrial thrombus was done. Two
 weeks later, the patient presents to the ED complaining of right sided flank pain.
 A CT scan shows a renal thrombus causing a right kidney infarction rendering the
 kidney non-functional which is further confirmed by additional flow scans.",internal medicine,SSE
"Patient ¡®A¡¯ is admitted for treatment of pneumonia. Admitting orders for ¡°Lorazepam 1mg PO three times daily¡± is intended for another patient ¡®B¡¯ but inadvertently entered on patient ¡®A¡¯s¡¯ medical record. Patient A receives six doses of Lorazepam. He requires a Foley catheter and due to his confusion, pulls it out causing damage to his urethra. This required significant urological surgery to correct the urethral damage an extension of hospital stay.",internal medicine,SSE
"A patient was admitted with congestive heart failure and received multiple medications including sedative agents. A fall risk assessment was done and the patient was identified as high risk to fall. The Fall Prevention interventions, including use of bed alarm and rounding procedures were completed consistently. However, family members who usually spent the whole day at the bedside weren¡¯t educated about the importance of keeping the alarm on even if they were in the room. One day they were standing just outside the room talking with the patient¡¯s physician when the patient got out of bed to go to the bathroom. The family had turned off the alarm because it kept going off and didn¡¯t think to put it back on when they left the patient alone. The patient fell and complained of intense hip and leg pain. Evaluation determines that that patient had a hip fracture as a result of this fall, requiring surgical repair and rehabilitation therapy.",internal medicine,SSE
"A patient was receiving treatment for rhabdomyosarcoma. The physician ordered methadone for the post-surgical pain control. The nurse administering the medication, double-checked the medication calculation with another RN but did not request verification of the medication infusion pump setting as per hospital policy. The patient subsequently receives a 10-fold dose. Shortly thereafter the patient experienced signs of respiratory compromise and the nurse realized the setting error and immediately stops the pump, contacted the physician, and closely monitored the patient. A reversal agent was administered and appeared successful. But the patient was moved to the ICU for 12 hours for further monitoring in case of further problems.",internal medicine,SSE
"A client of a Home Care program was receiving care post hospitalization for a leg injury that involved a wound vac. During an early wound case session, a nurse packed the wound with a small amount of white foam covered by black foam because there wasn¡¯t enough of the white foam. She didn¡¯t document the details of this so subsequent wound care visits by a nurse and dressing changes by the patient didn¡¯t focus on the white foam, just the black. It was during a procedure to remove the wound vac the remaining white foam was discovered. The wound was very infected and required hospitalization for a short time with IV antibiotics and several procedures to address and resolve the problem.",internal medicine,SSE
"A resident in a long-term care facility with left sided weakness from a previous stroke was identified as high risk to fall because of the weakness. A volunteer had returned the resident to bed after returning from a PCP visit outside the facility. She put the side rails up, the call bell in reach and left the room. A half hour later the patient got out of bed unassisted to go to the bathroom, injuring his right wrist requiring a splint to be placed for two weeks for stabilization while the injury healed.",internal medicine,SSE
"A patient was discharged to home with trach and PEG tube. Home Care services were ordered prior to discharge but the orders for the home care equipment were written by the physician overseeing the Home Care Division. These orders did not include details related to the respiratory needs including a nebulizer and trach care kit. The nurse coordinator for the Home Care service assumed that the previous DME company the patient had used would take care of this so didn¡¯t take any action. That evening, the patient had respiratory problems that required readmission back to the hospital for 2 days.",internal medicine,SSE
"A patient (#1) of a Rehabilitation Center had been admitted after acute care for a head injury. As part of the initial assessment he was identified as a low risk for elopement. Several weeks after admission however, his mental cognition began to change a bit. Some staff caring for him for the past two days noticed the difference and began to talk about it. Also, another patient (#2) had told a therapist that he (#1) had been talking about wanting to ¡°get out¡±. Because he (#1) was within days of discharge, she assumed that what he meant about ¡°getting out¡±. The therapist intended to discuss this at the team meeting that day but it was canceled and she forgot. The next morning, he went outside the facility but no one stopped him to check as he seemed to be OK. They realized two hours later he had eloped. He was found about 6 hours after leaving and seemed to have no apparent physical injury but was found comatose later that evening. After admission to the hospital they discovered that he was experiences some cranial rebleeding. If it had been discovered and addressed sooner, it was likely they would have been able to prevent the more severe physical limitations that resulted.",internal medicine,SSE
"A patient was admitted from the hospital to a Rehabilitation facility with a history of a stroke and an AMI. A month after admission she was SOB but this was attributed to seasonal allergies. It was also noted that she'd had 12 lb. weight gain but most though it was because of her decreased activity. Clinical staff didn't put together the weight gain and her respiratory issues and this was more difficult to assess because the facility was not on the same EHR as the hospital so they weren¡¯t able to confirm details of her past medical history. Several days later she continued to have issues and was more SOB and wheezing but she told the NP it was something she ate so the NP didn't do anything further. That night when she began getting more SOB, the nurse contacted the MD who ordered a nebulizer treatment. That seemed to help but the next morning she was more hypoxic with a PO2 of 87%. She arrested shortly thereafter. The Code Blue was unsuccessful and she expired.",internal medicine,SSE
